ELECTRONICS & ELECTRICALS,EEE 102,2,SLT,2,1,CORE
PRACTICAL ELECTRONICS,EEE114,1,SLT,2,1,CORE
CHEMISTRY II,SCT 104,2,SLT,2,1,CORE
PRACTICAL CHEMISTRY II,SCT 118,1,SLT,2,1,CORE
BIOCHEMISTRY,SCT 106,2,SLT,2,1,CORE
PRACTICAL BIOCHEMISTRY I,SCT 112,1,SLT,2,1,CORE
MICROBIOLOGY I,SCT108,2,SLT,2,1,CORE
PRACT. MICROBIOLOGY,SCT  116,1,SLT,2,1,CORE
GENERAL MATHEMATICS II,MAS 138,2,SLT,2,1,CORE
COMPUTER LITERACY II,CLT 102,2,SLT,2,1,CORE
COMMUNICATION SKILLS II,COS 128,2,SLT,2,1,CORE
ANALYTICAL CHEMISTRY,SCT 203,2,SLT,1,2,CORE
PRACTICAL ANALYTICAL CHEMISTRY I,SCT 213,1,SLT,1,2,CORE
BIOCHEMISTRY II,SCT 207,2,SLT,1,2,CORE
PRACTICAL BIOCHEMISTRY II,SCT 215,1,SLT,1,2,CORE
MICROBIOLOGY II,SCT 211,2,SLT,1,2,CORE
PRACTICAL MICROBIOLOGY II,SCT 217,1,SLT,1,2,CORE
INSTRUMENTATION SCIENCE AND TECHNOLOGY I,SCT 205,2,SLT,1,2,CORE
PRACTICAL INSTRUMENTATION SCIENCE & TECHNOLOGY,SCT 221,1,SLT,1,2,CORE
LABORATORY WORKSHOP PROCESSES,SCT 209,2,SLT,1,2,CORE
LAW I,LAN 207,2,SLT,1,2,CORE
LABORATORY MANAGEMENT & ADMINISTRATION,SCT 201,2,SLT,1,2,CORE
STATISTICS,MAS 219,2,SLT,1,2,CORE
ANALYTICAL CHEMISTRY II,SCT 204,2,SLT,2,2,CORE
PRACTICAL CHEMISTRY II,SCT 214,1,SLT,2,2,CORE
BIOCHEMISTRY III,SCT 208,2,SLT,2,2,CORE
PRACTICAL BIOCHEMISTRY III,SCT 216,1,SLT,2,2,CORE
MICRO BIOLOGY III,SCT 212,2,SLT,2,2,CORE
PRACTICAL MICROBIOLOGY III,SCT 218,1,SLT,2,2,CORE
INSTRUMNETATION SCIENCE & TECH II,EEE 206,2,SLT,2,2,CORE
PRACTICAL INSTRUMENATION,SCT 222,1,SLT,2,2,CORE
RESEARCH METHODOLOGY,LAN 224,2,SLT,2,2,CORE
LAW II,LAN 208,2,SLT,2,2,CORE
LABORATORY MANAGEMENT & ADMINISTRATION,SCT 202,2,SLT,2,2,CORE
ANALYTICAL CHEMISTRY III,SCT 305,2,SLT,1,3,CORE
PRACTICAL ANALYTICAL CHEMISTRY III,SCT 315,1,SLT,1,3,CORE
BIOCHEMISTRY IV,SCT 309,2,SLT,1,3,CORE
PRACTICAL MICROBIOLOGY IV,SCT 317,1,SLT,1,3,CORE
MICROBIOLOGY IV,SCT 313,2,SLT,1,3,CORE
PRACTICAL  MICROBIOLOGY IV,SCT 319,2,SLT,1,3,CORE
INSTRUMENTATION SCIENCE & TECH III,SCT 307,2,SLT,1,3,CORE
ENTREPRENURSHIP,EMT 301,2,SLT,1,3,CORE
LABORATORY SAFETY,SCT 303,2,SLT,1,3,CORE
PROJECT WORK,SCT 301,1,SLT,1,3,CORE
ANALYTICAL CHEMISTRY IV,SCT 306,2,SLT,2,3,CORE
PRACTICAL ANALYTICAL CHEMISTRY IV,SCT 316,1,SLT,2,3,CORE
BIOCHEMISTRY V,SCT 310,2,SLT,2,3,CORE
CLINICAL BIOCHEMISTRY,SCT 318,1,SLT,2,3,CORE
MICROBIOLOGY V,SCT 314,2,SLT,2,3,CORE
PRACTICAL MICROBIOLOGY V,SCT 320,1,SLT,2,3,CORE
PROJECT WORK,SCT 302,3,SLT,2,3,CORE
