HA,HND Accountancy,2,1392
HAE,HND Accountancy (Evening),2,1872
HCE,HND Civil Engineering,2,1612
HAC,HND Commercial Art (Ceramics Option),2,1502
HAG,HND Commercial Art (Graphics Option),2,1502
HAP,HND Commercial Art (Painting Option),2,1502
HAS,HND Commercial Art (Sculpture Option),2,1502
HAT,HND Commercial Art (Textiles Option),2,1502
HAGE,HND COMMERCIAL ARTS (GRAPHIC OPTION EVENING),2,1982
HCEM,HND Construction Engineering And Management,2,1612
HCEME,HND Construction Engineering And Management Evenin...,2,2092
HEV,HND Electrical/Electronics Engineering (Evening),2,2092
HDT,HND Fashion Design and Technology,2,1602
HCM,"HND Hotel, Catering and Institutional Management",2,1727
HCME,"HND Hotel, Catering and Institutional Management (...",2,2207
HIT,HND Information Technology,2,1402
HM,HND Marketing,2,1392
HMV,HND Marketing (Evening),2,1872
HMEE,HND Mechanical Engineering (Evening),2,2092
HME,HND Mechanical Engineering(PLANT OPTION),2,1612
HPS,HND Purchasing and Supply,2,1392
HPSE,HND Purchasing and Supply (Evening),2,1872
HSM,HND Secretaryship and Management Studies,2,1487
HSME,HND Secretaryship and Management Studies (Evening),2,1967
HS,HND Statistics,2,1402
