program_code,program_name,year,bill,nationality
HAE,HND Accountancy (Evening),1,2129.00,Ghana
HMV,HND Marketing (Evening),1,2129.00,Ghana
HPSE,HND Purchasing and Supply (Evening),1,2129.00,Ghana
HSME,HND Secretaryship and Management Studies (Evening),1,2224.00,Ghana
HPS,HND Purchasing and Supply,1,1649.00,Ghana
HDTE,HND FASHION DESIGN AND TECHNOLOGY(EVENING),1,2239.00,Ghana
HAGE,HND COMMERCIAL ARTS (GRAPHIC OPTION EVENING),1,2239.00,Ghana
HSM,HND Secretaryship and Management Studies,1,1744.00,Ghana
HSE,HND Statistics (Evening),1,2139.00,Ghana
HHME,HND Hospitality Management (Evening School,1,2464.00,Ghana
HT,HND Tourism,1,1759.00,Ghana
HTM,HND TOURISM (MATURE),1,1759.00,Ghana
HCEM,HND Construction Engineering And Management,1,1779.00,Ghana
DOM,Diploma in Business Studies (Secretarial Option),1,,Ghana
HCEME,HND Construction Engineering And Management Evenin...,1,1779.00,Ghana
BTCE,Bachelor of Technology in Civil Engineering,1,2100.00,Ghana
BTAC,Bachelor of Technology in Accounting,1,1950.00,Ghana
HIT,HND Information Technology,1,1659.00,Ghana
HITM,HND INFORMATION TECHNOLOGY(MATURE),1,1659.00,Ghana
HITE,HND INFORMATION TECHNOLOGY(EVENING),1,1882.00,Ghana
HTD,Diploma in Tourism,1,1368.00,Ghana
BTBE,BACHELOR OF TECHNOLOGY BUILDING ENGINEERING,1,,Ghana
HBTE,HND Building Technology (Evening),1,2259.00,Ghana
HDT,HND Fashion Design and Technology,1,1759.00,Ghana
BTXE,Bachelor of Technology in Industrial Arts (Textile...,1,1950.00,Ghana
BTTME,Bachelor of Technology in Tourism Management(Eveni...,1,,Ghana
BTCEE,Bachelor of Technology in Civil Engineering(Evenin...,1,2100.00,Ghana
BTIAG,Bachelor of Technology in Industrial Arts (Graphic...,1,1950.00,Ghana
BTF,Bachelor of Technology in Fashion,1,1950.00,Ghana
BTMKT,Bachelor of Technology in Marketing,1,1950.00,Ghana
HME-A,HND Mechanical Engineering(Automobile Option),1,1869.00,Ghana
HAG,HND Commercial Art (Graphics Option),1,1759.00,Ghana
HME-RA,HND Mechanical Engineering(Refrigeration and Air-c...,1,1869.00,Ghana
HME,HND Mechanical Engineering(PLANT OPTION),1,1869.00,Ghana
HME-PR,HND Mechanical Engineering(Production Option),1,1869.00,Ghana
HEM,HND Estate Management,1,1779.00,Ghana
DAS,Diploma in Actuarial Science,1,1759.00,Ghana
CSD,DIPLOMA  Information Technology,1,1368.00,Ghana
DLA,Diploma in Science Laboratory Technician,1,1368.00,Ghana
DHM,Diploma in Hospitality Management,1,1368.00,Ghana
HAC,HND Commercial Art (Ceramics Option),1,1759.00,Ghana
CBS-AC,Certificate  in Business Studies(Accounting with C...,1,,Ghana
CBS-AD,Certificate  in Business Studies(Administration Op...,1,,Ghana
CBS-OM,Certificate  in Business Studies(Office Management...,1,,Ghana
CBS-IT,Certificate in Business Studies(ICT Option),1,,Ghana
HAT,HND Commercial Art (Textiles Option),1,1759.00,Ghana
SLT-P1,Science Laboratory Technician Part 1,1,,Ghana
SLT-P2,Science Laboratory Technician Part 2,1,,Ghana
CFDT,Certificate in Fashion Design and Technology,1,,Ghana
CGD,Certificate in Graphic Design,1,,Ghana
