indexNo,HCM 112,HCM 122,HCM 132,HCM 142,SCN 112,SCN 122,PUS 102,COS 102,CLT 102,AFS 102
7142001,0,0,0,0,0,0,0,0,0,0
7142002,79,70,55,67,75,62,45,58,58,56
7142003,56,68,50,62,69,55,56,60,60,50
7142004,80,80,70,70,78,79,80,65,70,71
7142005,50,63,66,67,67,51,73,50,68,55
7142006,0,0,0,14,0,0,0,8,0,16
7142007,54,60,53,54,67,57,40,58,59,46
7142008,35,54,61,58,68,46,31,56,57,47
7142009,62,74,62,51,77,58,54,55,53,61
7142010,41,53,54,55,63,55,50,50,51,52
7142011,78,64,67,67,76,69,72,75,71,77
7142012,66,80,71,74,89,78,81,70,62,70
7142013,66,57,66,55,80,55,35,66,56,56
7142014,46,51,54,74,74,81,62,56,50,71
7142015,63,68,63,60,75,64,62,58,50,51
7142016,42,50,55,50,75,50,35,43,58,50
7142017,47,53,68,69,82,67,66,71,69,71
7142018,58,52,74,87,16,50,74,50,26,57
7142019,0,0,0,0,0,0,0,0,0,0
7142020,50,51,59,50,61,40,32,50,50,55
7142021,68,75,79,67,73,71,75,73,68,66
7142023,66,54,55,66,79,68,58,60,51,70
7142024,0,0,0,0,0,,0,0,0,0
7142025,69,53,58,56,76,67,60,65,55,51
7142026,45,50,63,57,78,55,60,62,50,59
7142027,55,50,57,60,68,50,50,55,30,52
7142028,73,62,83,62,77,77,66,70,72,67
7142029,33,58,54,51,63,35,33,63,44,39
7142030,59,52,60,60,58,55,36,60,85,43
7142031,75,80,63,73,86,68,68,68,64,66
7142032,70,68,61,61,70,61,64,63,68,56
7142033,47,66,64,68,74,77,65,64,62,61
7142034,35,57,65,54,54,53,52,61,78,60
7142035,68,64,56,50,59,64,51,44,58,37
7142036,62,67,65,62,79,69,40,67,64,62
7142037,45,56,63,63,76,58,68,42,55,58
7142038,62,67,63,52,62,61,0,53,66,47
7142039,44,65,77,57,78,74,52,52,67,62
7142040,51,62,61,54,79,75,62,53,63,70
7142041,35,52,50,51,66,43,31,39,45,45
7142042,45,51,73,71,76,68,81,62,70,73
7142043,72,69,68,73,68,61,72,58,60,75
7142044,69,67,66,71,75,79,62,55,66,61
7142045,78,53,58,69,71,73,70,68,73,68
7142046,52,59,70,56,66,62,50,66,50,53
7142047,66,54,59,53,64,69,43,63,68,59
7142048,54,52,71,67,72,75,83,59,71,75
7142049,43,59,58,50,65,67,65,52,67,58
